ID,Actual
1,13943.02791803237
4,21481.77191786887
10,13965.876128584146
13,21161.042351230048
16,2208.8998716436327
17,10829.265756923705
18,40878.238059478346
19,24743.42515344266
22,12307.057984708808
23,9527.490856864024
25,3785.8346153856255
29,25744.30546652153
31,16920.160801653285
34,23066.811121172737
38,21261.653328391723
39,25192.67862346582
43,22099.124138185754
44,18777.946826833766
46,26078.305764815304
47,12174.88175711641
48,18790.37310832599
51,11430.483323006425
53,12287.702466662042
55,14742.45240669744
56,13918.329065599944
58,25472.883074635174
63,10940.546929448843
66,16243.96743852552
69,24835.557551574428
70,11869.686817527749
75,19678.082485574763
82,22199.16435593646
84,15560.84049523389
85,28733.77434038464
87,25498.309776745737
88,8152.326565109659
89,26381.894822411705
98,17934.429016456008
99,24402.881451507565
102,6981.597622377798
108,20373.603419651277
109,7986.229897836689
111,15154.117453151383
112,3443.081849389244
117,19646.831485413015
122,23869.013486231677
125,26861.78854272794
128,17129.479150549974
134,13307.431770881172
140,6748.847582573071
143,4641.870312840212
146,22871.07679976616
148,26297.688397037797
149,16628.26390359737
150,10717.038079351187
151,40972.77776109008
152,25966.46218889067
156,10712.429088585544
158,19112.46224623453
160,23320.372888034675
167,26671.905064887367
170,30462.846813056618
172,30415.37872241903
176,28416.29603325622
179,-3977.299420534633
183,11086.19163646968
184,29452.461088462267
186,19249.03952999506
189,14944.877520650625
191,9108.977449411526
194,22010.97432258539
199,12920.959043129813
201,17523.38718028553
206,31538.564787820913
214,35952.42173609976
216,14143.05280643655
219,5496.046171858441
220,30732.242017640732
224,15361.24234499922
227,24088.309552249964
228,18649.974177205004
230,12374.146508809645
232,17750.335277317092
233,28991.260453101713
234,24523.42897699494
237,18080.93459073268
238,10746.480412496254
248,22039.371858611237
249,25601.21142927371
250,-3317.0909387934953
264,13567.53447919758
267,21604.58957219869
270,14880.99937340431
272,48210.21929195803
277,26838.54242276773
278,9849.932122348808
279,17597.91020602081
280,26402.47247012239
284,18702.988117339555
286,12330.409598178696
287,21076.81679266924
288,29025.453982083127
289,-7868.667559205089
292,22804.586954650003
293,22488.603967176285
295,22373.442039626185
298,24152.402812229935
300,21460.754011338577
301,16560.065690093208
304,-1671.4530508015305
305,25503.001635421067
311,19038.762876951136
314,15007.154184083454
317,10829.492881540675
319,38492.000118160155
320,18494.976737766992
325,19341.654766245745
327,26358.518942649942
334,18884.145195499063
336,21702.346560101956
338,25298.934498249553
339,23126.400877631735
340,16024.585099074524
342,21214.99002984166
343,21533.96816968592
344,19979.283877874725
346,18589.072340482846
347,28458.30367228575
348,24827.289644571487
354,29278.154489981476
360,18691.793868181296
361,17491.419233561493
363,28141.948388711084
367,30751.52426969353
369,16056.072536008433
373,36734.2666920051
376,20044.056226717308
377,33529.5220894604
378,10052.302436124068
384,30493.51259875158
386,29614.884666538797
388,9543.812726063654
391,18457.394534194376
398,3591.683440802619
402,6968.1337696551345
406,26679.913001572248
407,9789.604571202304
409,33185.645183720626
410,21181.884685244877
411,23312.781337637454
412,22769.269919305574
414,28029.036676492076
419,12235.524889382534
422,20546.83197302837
426,9966.618966442533
429,17283.800954863895
436,25018.013659259304
438,23965.037311133463
441,24710.830114963464
442,25769.264341898263
449,27474.15536394948
451,35996.305872352794
454,12275.539687466342
455,14902.950613680761
456,18572.46516325744
457,26126.121404463425
460,16356.110513593536
461,10177.311136432923
464,24406.333216977306
472,24198.31544294255
473,27008.367585958913
475,5890.088052612729
476,21151.43229081994
491,14970.399522756692
493,22622.462531509344
498,48124.655584530905
499,25848.99103369331
503,14982.511165115982
506,10929.133453195449
509,15621.748550988268
510,21062.401986521203
511,27819.54639116442
512,24396.726269403473
514,8809.96483966941
519,20965.528079901356
521,21006.865718843415
522,26058.614329277072
528,21964.77434146125
529,25612.37167157978
533,25713.645624629222
537,21413.167563865893
539,30790.599806691054
